Nama,Alamat,Telepon,Tags
Islam Aisyiyah Malang,"Jl. Sulawesi, No.16",0341-326773,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Aminah Sidoarjo,"Jl. Untung Suropati, Watutulis, Prambon, Sidoarjo, Jawa Timur",031-99890993,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Assyifa,"Jl. Jend. Sudirman No. 3 Gunung Puyuh, Sukabumi",0266-222663/218672/241463,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Banjarmasin,Jl. Letjen S.Parman GG.Purnama No.1 Banjarmasin,0511-3350332/3354896,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Bogor,"Jl. Perdana Raya No.22, Budi Agung - Kedung Badak",0251-8316822/834713,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Fatimah Banyuwangi,"Jl. Jember, No.25",0333-421451,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Fatimah Cilacap,Jl. H Juanda No.20,0282-542396,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Harapan Anda,Jl. Ababil No.42,0283-358244,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Ibnu Sina Pekanbaru,"Jl. Melati, No.60",0761-24242/26011,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Jakarta Cempaka Putih,Jl. Cempaka Putih Tengah I/1,021-4250451/42801567,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Jakarta Timur (Pondok Kopi),Jl. Raya Pondok Kopi,021-8630654/8610471,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Jakarta Utara,Jl. Tipar Cakung No.5 Jakarta Utara,021-4400781/4400778,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Jemursari Surabaya,JL. Jemursari No.51-57,031-8471877/8471878/8471889,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Karawang,Jl. Pangkal Perjuangan Km.2,0267-414520/414524,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Klaten,Jl. Raya Solo Km.4,0272-322252,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Malahayati,"Jl. Dipenogoro No.2-4, Medan",061-4518766,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Malang ( Unisma ),Jl. Mayjend Haryono No. 139,0341-551356/580798/565448,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Masyithoh,"Jl. A. Yani, No.6",0343-741018,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Namira,"Jl. Kh Ahmad Dahlan No.17 Pancor, Kel. Majidi Kec.Selong, Lombok Timur - Ntb",0376-22693,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Orpeha,Jl. Kh. R. Abdul Fatah,0355-323186,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Pku Muhammadiyah Pekajangan,"Jl. Raya Ambokembang No 42-44, Pekalongan",0285-785133/785367,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Purwokerto,Jl. Haji Mansyuri No.39 Purwokerto Jawa Tengah,0281-630019,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Purworejo,Jl. Magelang Km.2 Purworejo Jawa Tengah,0275-3255470,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Siti Rahmah Padang,"Jl. Raya By Pass Km 15 Aie Pacah, Padang",0751-463059,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Sultan Agung,Jl. Kaligawe Km.4,024-6580019,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Surabaya,Jl. Jend A Yani No.2-4,031-8284505,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Surakarta,Jl. Jend A Yani Pabelan Kartasura Sukoharjo Jawa Tengah,0271-710571/725134,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Islam Yogyakarta PDHI,"JL. Solo KM. 12,5 Kalasan, Sleman, Yogyakarta",0274-498000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ismile Dental Clinic,Jl. Gusti Hamzah No.6C Pontianak Kalimantan Barat,0895-335540909,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ismile Dental Clinic Gaia,"Gaia Mall Pontianak Lantai 2 No.35, Jl.Arteri Supadio, Sungai Raya,Kec Sungai Raya, Kubu Raya - Kalimantan Barat",0561-7266296,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Isykarima,Ruko Sentra Niaga Square blok B/8 No.37-39 Ds.Simpangan Cikarang Utara Bekasi 17530,021-89141908,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Izza (Ex- Rs Aqma Cikampek),Jl. Kp.Ciselan Ds.Cikampek Utara.Karawang,0264-319307/8386830-32,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
J & J Dental Care Penjaringan,Ruko Cordoba Blok G No. 16 Jl. Marina Raya Indah Golf No.2 Kel.Kamal Muara Kec. Penjaringan Jakarta Utara,-,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
J & J Dental Care Radio Dalam,Jl. Radio Dalam Raya No. 9A Rt/Rw 008/002 Kel Gandaria Kec. Keabyoran Baru Jakarta Selatan,021-7207877,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
J & J Dental Care Tangerang,Jl. Raya Kelapa Dua Paramount Sparks Blok A No. 18 Kec. Kelapa Dua Tangerang,-,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jabal Rahmah Medika,"Jl. R.M Thaher Rt 015 Rw 005 Kel. Cadika Kec. Rimbo Tengah, Kab. Bungo Muara Bungo - Jambi",082180320001,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jakarta,"Jl. Jend. Sudirman, Kav.49",021-5732241/5741828,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jakarta Eye Center,Jl. Cik Ditiro No. 46 Menteng Jakarta Pusat,021-29221000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jakarta Eye Center Cinere,Jl. Cinere Raya No. 19 Rt.04 / Rw.08 Cinere,021-7532373/29221000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jakarta Eye Center Kedoya,"Jl. Terusan Arjuna No. 1 Kedoya, Jakarta Barat",021-29221000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jakarta Eye Center Tambora,"Jl. Iman Mahbud No.31 Duri Pulo, Gambir Jakarta Pusat",021- 29221000/6323919,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jakarta Medical Center,Jl. Buncit Raya No. 15 Jakarta Selatan,021-7980888/7985177,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jantung & Pembuluh Darah Paramarta Bandung,"Soekarno-Hatta St No.581, Binong, Batununggal, Bandung",022-7337239,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jantung Bina Waluya Cardiac Center,Jl. Tb Simatupang No.71,021-87781605/87781606,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jantung Diagram Depok (Siloam Group),"Jl. Cinere Raya No.19 Puri Cinere, Depok - Jawa Barat",021-50900100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jantung Harapan Kita,"Jl. Letjen. S. Parman Kav. 87 Slipi, Jakarta Barat 11420",021-5681111/5684085-93,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jantung Jakarta,Jl. Matraman Raya No.23 Jakarta Timur,021-29361158/29361160,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jasa Kartini,Jl. Otto Iskandardinata No.15,0265-331808/331641,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jati Elok,"Komp. Bumi Jati Elok Blok A I No 7, Jl. Raya Legok-Parung Panjang km. 3,Malangnengah, Pagedangan, Tangerang, Banten",021-98496234,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jati Sampurna,Jl. Studio Antv Kranggan,021-8451457,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jaya Abadi,Jl. Buahbatu No.245 Bandung,022-7317779,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jaya Sentosa,Jl. Sunda No.75 Bandung,022-70988880,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jb Medical Center,"Ruko Permata Junction Blok A.15, Jababeka 1, Cikarang",021-89846023,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jesslyn Medical Center,Perum.Taman Surya III Blok F/63 Cengkareng Jakarta Barat,021-54365638,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
JIH Purwokerto,"Jl. Kh Ahmad Dahlan, Dusun Iii, Dukuhwaluh, Kembaran – Banyumas Jawa Tengah",0281-7779888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
JIH Solo,Jl. Adi Sucipto No.118 Jajar Laweyan Surakarta Jawa Tengah,0271-7469100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jmc Dharma Bhakti,Jl.  Cilandak Kko Raya No.45 Jakarta Selatan,021-7823515/7989123,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Jogja International Hospital (JIH),Jl. Ring Road Utara No. 160 Condong Catur Sleman,0274-4463535/4463190,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Juanda Kuningan,JL. IR. H. Juanda No.207 Kuningan Jawa Barat,0232-876433/875871,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Juliana,"Jl. Raya Tajur No.75A Bogor, Jawa Barat",0251-8339593/8339591,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Juwita,Jl. M. Hasibuan No.78 - Bekasi,021-8829590/1,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
JWCC Asih (d/h RSIA Asih),Jl. Panglima Polim I No.34 Jakarta Selatan 12160,021-2700609,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kalbu Intan Medika,"Jl. Basuki Rachmad No.888 Batu Intan Girimaya, Pangkal Pinang, Bangka Belitung",0717-434099,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kaliwates PTPN Nusantara XII,Jl. Diah Pitaloka No.1 Jember,0331-487104/426873/485912,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kanker Dharmais,"Jl. Letjen S.Parman Kav.84-86, Slipi Jakarta Barat",021-5681570,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karang Tengah Medika (Group Yadika),"Jl. Karyawan Iv, Karang Tengah Tangerang",021-7336699/7335599,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karina Medika (d/h Klinik Khusus Anak Masithoh),"Jl. Baru Kp.Krajan RT.01/01 Maracang Babakan Cikao, Purwakarta, Jawa Barat",0264-8220544,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karisma,"Jl. Warung Cendol RT.10 RW.04 Rancasari Pamanukan, Subang, Jawa Barat",0260-550911,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartika,"Jl. WR. Supratman No.25 Rengas Ciputat Timur, Tangerang Selatan",021-7371987/73881646,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartika Cibadak,"JL. Siliwangi No.139, Cibadak, Sukabumi",0266-7160071,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartika Husada Jati Asih,"Jl. Raya Jati Asih No 72 Jati Asih, Bekasi",021-82435585/82435587,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartika Husada Setu,Jl. Burangkeng Rt 01/06 Desa Burangkeng Setu Bekasi,021-82610003/82610005,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartika Husada Tambun,"Jl. Mangun Jaya Raya Kp.Rukem Rt.003/013, Desa Mangun Jaya, Tambun - Bekasi",021-88338346/88327281/9172736,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartika Kasih (d/h Kartika Medical Center),"Jl. Jend. A.Yani, No.18 Sukabumi",0266-6250902/6250905,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartika Pulo Mas,Jl. Pulo Mas Timur K Blok G-H-C/1,021-4703333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartini,"Jl. Ciledug Raya No. 94-96, Kel. Cipulir Kec. Kebayoran Lama, Jakarta Selatan",021-7245646/7207828,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartini Lebak,"Jl. Sunan Kalijaga, No. 325 Blok Papanggo, Cijoro Pasir, Rangkasbitung Lebak -  Banten",0252-209333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kartini Mojokerto,"Jl. Erlangga, No.137, Mojosari, Mojokerto Jawa Timur",0321-592261,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karunia Bunda Tangerang,"Jl. Aria Santika No.28 Kel. Margasari, Kec. Karawaci Tangerang",021-5520356,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karunia Kasih,"Jl. Raya Jatiwaringin No.133 Pondok Gede, Bekasi",021-8461970,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karunia Medika Center,"Jl. Gatot Subroto No.37 RT.003/002 Cikarang Utara, Bekasi",021-89104266,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karya Bhakti Pratiwi,Jl.Raya Dramaga KM.7 Dramaga Bogor,0251-8626868,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karya Husada,"JL. Jend. A.Yani, No.98, Cikampek-Karawang",0264-316188-89,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karya Medika Bantar Gebang,"Jl. Narogong KM 11, Bantar Gebang – Bekasi",021-8254629/8254630,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karya Medika I,"Jl. Ir. H. Juanda No. 38C, Bekasi Timur – Bekasi",021-8801293/8800381,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karya Medika II,"Jl. Sultan Hasannudin No. 63, Tambun – Bekasi",021-88324366/88327514,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Karya Medika III (Apotik Mekar Asri),"Jl. Perjuangan No. 30C, Teluk Buyung – Bekasi Selatan",021-8851152,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Anugerah Serang Baru,"Jl. Raya Serang-Cibarusah Kp. Bunisari RT.07/04 Ds. Sukaragam, Serang Baru, Cikarang",021-89952605,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Bunda,"Jl. Mahar Martanegara No. 166 Leuwigajah, Cimahi 40521",022-6614221/6630585,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Bunda Depok,"Jl. Pekapuran Kampung Babakan No.17 Rt.02/Rw.04 Sukatani Tapos, Depok - Jawa Barat",021-8741527,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Herlina Timika,Jl.A Yani No. 37 Timika - Papua,0901-321433,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu,"Jl.Propinsi RT.08 No.9 Desa Makkur Mulia,Kec.Satui Tanah Bumbu kalimantan Selatan",0554 - 21069/61157,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Dalung Permai,"Kompleks Perum Bumi Dalung Permai, Blok C1-C4",0361-422150,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Denpasar,"Jl. Teuku Umar, No. 120",0361-223036/3003030,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Kedonganan,"Jl. Uluwatu, No.69A, Kedonganan",0361-703270,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Manado,"Jl. Wolter Monginsidi 1 Kompleks Bahu Mall Blok C-23 Kel. Bahu Kec. Malalayang Manado, Sulawesi Utara",0431-834780/834667,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Saba Gianyar,"Jl. Raya Pantai Saba No.9 Desa Saba, Gianyar Bali",0361-3003333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Solo,Jl. Brigjend Slamet Riyadi No.404,0271-714422,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Tabanan,Jl. Flamboyan No.9 Tegal Belodan Tabanan - Bali,0361 - 300 5757,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasih Ibu Tegal,"Jl. Sultan Agung No.32, Randugunting Tegal Jawa Tengah",0283-355525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Kasoem Grand Metropolitan Bekasi,"Lt. 1 No.25 A, Jl KH Noer Ali (Bekasi Selatan)",087790006487,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Klinik Mata Suparman Cikampek,"Kl. Mata DR. Suparman (Cikampek) Jl. H. Juanda Sukaseuri No. 202 Sarimulya, Cikampek",087780811629,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Botani,"Botani Square (Giant) Jl. Pajajaran Baranangsiang, Bogor",087780811650,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Buah Batu,"Buah Batu Jl Buah Batu No.209, Bandung",087790006518,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Cibinong City Mall,Lower Ground Floor No 44 - 45. JL Tegar Beriman No 1 Cibinong,087780811649,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Cikini,JL. Cikini Raya No. 18,087780811655,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Cilegon Center Mall,"Jl. Lt 1 -5A, Jalan Ahmad Yani, Sukmajaya,Cilegon Center Mall",087780811643,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Cirebon Super Block Mall,"Cirebon Super Block Mall Lt.1 Unit #1-0265, Cirebon",087728351843,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Citimall Cianjur,Citimall Cianjur Baru Jl. KH Abdullah Binooh No.21,087790006516,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Gandaria City Mall,Gandaria City Mall Lt. GF #L-53 Jakarta Selatan,087790006510,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Grage Mall,Grage Mall Lantai Dasar Jl. Tentara Pelajar No. 1 Cirebon,087780811628,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Karawang Central Plaza,"Karawang Central Plaza Lantai Dasar Blok B-11 JL. Galuh Mas Raya, Kel. Sukaharja, Kec. Telukjembe Timur, Kab. Karawang",087780811631,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Klinik Afiat RS PMI Bogor,JL. Raya Pajajaran No.80,087780811651,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Lippo Cikarang,"Lippo Mall Cikarang, Lt. 1",087790006537,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Mall Of Serang,"Lt 1 Mall Of Serang, Jl Akses Tol Serang Timur",087780811638,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Pejaten,Jl. Taman Marga Satwa No. 18 Jakarta Selatan,087780811654,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Solo,"Jl Brigjend Katamso No.64, Tegalharjo Kec. Jebres (Sebrang RS Oen Kandang Sapi)",087790006509,"AXA Mandiri Financial Services, Corporate Solution"
Kasoem Vision Care Tangerang,"Jl. Kisamaun No. 143, Sukasari Tangerang, Banten",087780811645,"AXA Mandiri Financial Services, Corporate Solution"
Katolik Budi Rahayu Blitar,Jl. A.Yani Blitar,0342-801066/802316/807802,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Keluarga Kita,Jl. Raya Plp Curug No 8 Km.4,021-59491011/5986572,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Keluarga Pulo Ampel,"Jl. Salira Indah Ds.Sumuranja Puloampel Cilegon, Banten",0254-5751100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Keluarga Sehat Hospital,Jl. P.Sudirman No.9 Margorejo Pati 59163,0295-386111 / 386666,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Keluarga Sehat Tayu,"Jl. Pati - Tayu Km.27, Desa Sendangrejo, Kec.Tayu, Pati – Jawa Tengah",0295-4591111,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
