nama_rumah_sakit,alamat,telp,text
KTA Srengseng Junction,"Jl. Srengseng Raya No.69 Srengseng, Kembangan Jakarta Barat",021-94875942,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kembangan Jakarta Barat"
KTA Surya Cipta,"Jl. Surya Utama Kav.C-1 Surya Square The Promeneda Blok C1 No.9 Suryacipta City Of Industry Kutamekar, Ciampel, Karawang - Jawa Barat",0261-8404 119,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karawang - Jawa Barat"
Kumala,Jl. P. Antasari No. 33 B Rt. 02 Samarinda 75124,0541-735602/ 769357,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. P. Antasari No. 33 B Rt. 02 Samarinda 75124"
Kuncup Bunga Selong,"Jl. Dr. Cipto Mangunkusumo No.16 Kel. Majidi Kec. Selong, Lombok Timur Ntb",0376-23843,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Lombok Timur Ntb"
Kuningan Eye Center,Jl. Jendral Sudirman No.150 Kuningan Jawa Barat,0232-8881100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jendral Sudirman No.150 Kuningan Jawa Barat"
Kurnia,Jl. Jombang Masjid No.4,0254-391161,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jombang Masjid No.4"
Kurnia Serang,"Jl. Raya Cilegon KM.8 Desa Kramatwatu Serang, Banten",0254-232648,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Kyoai Bali,Jl. Bypas Ngurah Rai No.9 C Bali,0361-766591,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Bypas Ngurah Rai No.9 C Bali"
Kyoai Cikarang,"Gedung Ejip Center Lt.2 Kawasan Industri Ejip Plot 3A, Desa Sukaresmi Kec.Cikarang Selatan",021-89677310,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Desa Sukaresmi Kec.Cikarang Selatan"
Kyoai KIIC,"Gedung Sntra KIIC Unit 40 Lt 1 Jl. Permata Raya Lot Ca-1 Kawasan Industri KIIC Desa Sekaluyu Kec.Teluk Jambe Timur, Karawang, Jawa Barat",021-29569380-82,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Kyoai Medical Center Karawang,"Gedung The Manor Lt. 2, Jl. Surya Utama Kav.C-1, Kawasan Industri Surya Cipta, Karawang, Jawa Barat",021-30424007/8/9,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Kyoai Medical Services,Wisma Keiai Lt.6 Jl. Jend Sudirman Kav.3-4 Jakarta Pusat,021-5724330 / 5734550,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Wisma Keiai Lt.6 Jl. Jend Sudirman Kav.3-4 Jakarta Pusat"
Lab. Klinik Cito Merauke,"Jl. Raya Mandala 293 Merauke, Papua",0967-325367,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Papua"
Larasati,"Jl. Mandilaras, No.74, Pamekasan",0324-328305,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pamekasan"
Latersia,"Jl. Soekarno Hatta, Km.18 No.451, Binjai",061-8829588/8829788,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Binjai"
Lavalette,"JL. W.R Supratman No.10 Malang, Jawa Timur",0341-470805/482612,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Timur"
Lawang Medika,"Jl. Dr Cipto No.8, Kel.Bedali, Kec.Lawang, Malang, Jawa Timur",0341-7057623/420888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Timur"
Legenda Sehat,Jl. Zamrud Utara Blok U16 No.100 Kota Legenda,021-82600148,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Zamrud Utara Blok U16 No.100 Kota Legenda"
Lematang Medical Center,"Jl. Ir. Sutami No. 153, Desa Lematang, Kec. Tanjung Bintang, Kab. Lampung Selatan 35361",0721-350145/082306072345,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kab. Lampung Selatan 35361"
Lembayung Husada,"Jl. A. Yani KM.36 Simpang Empat, Banjarbaru",0511-4777115,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banjarbaru"
Lestari Raharja,Jl. Mayjen Sutopo No.5,0293-362225,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Mayjen Sutopo No.5"
Limijati,Jl. R.E. Martadinata No. 33 - 39 Bandung 40115,022-4207770,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. R.E. Martadinata No. 33 - 39 Bandung 40115"
Lira Medika,"JL. Syech Quro No.14 Lamaran, Karawang - Jawa Barat",0267-405752,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karawang - Jawa Barat"
Livasya,"Jl. Raya Timur III Dawuan, Majalengka, Jawa Barat",0233-662273,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Lotim Medical Center,"Jl. Pejanggik No. 78A Rakam Selong, Lombok Timur - NTB",021-7501524,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Lombok Timur - NTB"
Ludira Husada Tama,Jl. Wiratama No.4 Tegalrejo 55244,0274-620333/620091,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Wiratama No.4 Tegalrejo 55244"
Ma Ageung,"Jl. Raya Pintu Pangalengan No.563 Marga Mukti, Pangalengan, Bandung, Jawa Barat",022-5979045 / 5975219,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Madina,Jl. Guru Hamzah No.17,0752-21388,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Guru Hamzah No.17"
Maju Sejahtera,"Jl.Moh Hatta, Handil 3 Muara Jawa Kutai Kartanegara",0541-691891 / 0813-33001836,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Handil 3 Muara Jawa Kutai Kartanegara"
Maleo Sorong,"Jl.Kesehatan No.37 Kampung Baru, Sorong, Papua Barat",0951-3122743,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Papua Barat"
Mandaya (d/h. Cito Karawang),"Jl. Arteri Tol Karawang Barat Kec. Telukjambe Timur, Karawang 41361",0267-414245/414264,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karawang 41361"
Mandaya Royal Hospital Puri,"Jl. Metland Boulevard Kav.C-3 Metland Cyber City RT.001 RW.002 Pondok Bahar, Karang Tengah, Tangerang - Banten",021-50928888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang - Banten"
Manhattan,"ITC Kuningan lt 1, blok C5 no 1-5-6 Jl. Prof. DR. Satrio No.18, RT.11/RW.4, Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, DKI Jakarta 12940",021-57934550,"AXA Mandiri Financial Services, Corporate Solution | DKI Jakarta 12940"
Manhattan Ruko Telaga,"Ruko Telaga Bestari Jl Taman Palem Raya blok J No 1B Wana kerta Sindang Jaya, Tangerang, Banten",085881681688,"AXA Mandiri Financial Services, Corporate Solution | Banten"
Manhattan Ruko Terrace,"Ruko Terrace 8 blok A no.59, Suvarna Sutera, Cikupa
Sindang Jaya, Tangerang, Banten",081510007893,"AXA Mandiri Financial Services, Corporate Solution | Banten"
Manyar Medical Centre (d/h Bedah Surabaya),JL. Raya Manyar No 9 Surabaya,031-5999369/5999339,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | JL. Raya Manyar No 9 Surabaya"
Mardi Rahayu,"Jl. Akbp.R. Agil Kusumadya, No.110",0291-434707-12/435582/443581,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.110"
Mardi Waloeja Rampal,JL. WR Supratman No.01 Malang,0341-364756,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | JL. WR Supratman No.01 Malang"
Mardi Waluyo,Jl. Jend Sudirman No 156 Kota Metro 34111 Bd Lampung,0725-42512/44980,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend Sudirman No 156 Kota Metro 34111 Bd Lampung"
Marina Permata,"Jl.Kodeco Km4 Ds.Sarigadung, Kec.Simpang Empat, Tanah Bumbu, Kalimantan Selatan",0518-71118,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kalimantan Selatan"
Marsudi Waluyo,Jl. Raya Mondoroko Km.9 Singosari,0341-458974,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Mondoroko Km.9 Singosari"
Martha Friska,"Jl. Kol. Yos Sudarso Km.6, No.91, Pulo Brayan",061-6610910,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pulo Brayan"
Martha Friska Multatuli,Jl. Multatuli Komp. Multatuli Indah No 1 Medan,061-4149666,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Multatuli Komp. Multatuli Indah No 1 Medan"
Mary Cileungsi,Jl. Narogong Raya Km.21 Cileungsi Kabupaten Bogor 16820,021-82492222,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Narogong Raya Km.21 Cileungsi Kabupaten Bogor 16820"
Masmitra,"Jl. Kelurahan Jatimakmur, No.40, Pondok Gede",021-84971766,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pondok Gede"
Mata Bandung Eye Center,"Jl. Buah Batu No.147 Rt.007/006 Lengkong, Turangga, Bandung, Jawa Barat",022-7351 4683/84,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Mata Cicendo,"Jl. Cicendo No.4, Babakan Ciamis, Kec. Sumur Bandung Jawa Barat",022-4231280,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Sumur Bandung Jawa Barat"
Mata JEC @Bekasi,"Jl. Jenderal Sudirman No.5 RT.01 RW.08 Harapan Mulya, Medan Satria Bekasi Jawa Barat",021-89457701,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Medan Satria Bekasi Jawa Barat"
Mata JEC Primasana,"Jl. Kebon Bawang Raya No.1 RT.013 RW.001 Kebon Bawang, Tanjung Priuk, Jakarta Utara",021-4367090,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Utara"
Mata Nusantara Kebon Jeruk,"Jl. Arjuna Utara No.50, Kebon Jeruk Jakarta Barat",021-5646688,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kebon Jeruk Jakarta Barat"
Mata Nusantara Kemayoran,"The Mansion Kemayoran, Bougenvile - Fontana Tower, Lt.18-19 Jl. Trembesi Blok D-4, Bandar Baru Kemayoran Jakarta Pusat",021-6546688,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bandar Baru Kemayoran Jakarta Pusat"
Mata Nusantara Pantai Indah Kapuk,"RS. Pantai Indah Kapuk Lt.8, Jl. Pantai Indah Utara No. 3, Kel. Kapuk Muara, Penjaringan, Jakarta Utara",021- 55958236,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Utara"
Mata Nusantara Semarang,"Jl. Ahmad Yani No.164, Karang Kidul, Semarang Tengah",024- 86456688,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Semarang Tengah"
Mata Pekanbaru Eye Center,Jl. Soekarno Hatta No.236 Pekanbaru - Riau,0761-7875191,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Soekarno Hatta No.236 Pekanbaru - Riau"
Mata Prima Vision,Jl. Pabrik Tenun No.51A-53 Medan,061-80514888,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Pabrik Tenun No.51A-53 Medan"
Mata Smec Pekanbaru,"Jl. Arifin Ahmad No. 92 Sidomulyo Timur, Pekanbaru Riau",0761 - 565686,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pekanbaru Riau"
Mata Solo,Jl. Adi Sucipto No.169 Solo Jawa Tengah,0271-713333/734333,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Adi Sucipto No.169 Solo Jawa Tengah"
Mata Undaan,Jl. Undaan Kulon No. 19 Surabaya,031-5343806/531619,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Undaan Kulon No. 19 Surabaya"
Mata Utama JEC Cibubur,"Jl. Alternatif Cibubur-Cileungsi RT.001/011 Kel. Jatikarya Kec.Jatisampurna, Bekasi",021-29221000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Materna,Jl. Teuku Umar No.11,061-4514222,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Teuku Umar No.11"
Mayapada,"Gd. Mayapada Tower II Lt.2, Jl. Jend.Sudirman  Kav.27, Karet, Setiabudi Jakarta Selatan",021-29859988/29859999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Setiabudi Jakarta Selatan"
Mayapada Central Park,"Jl. Tanjung Duren Raya Grand Shopping Arcade Beaufort 8 No. Ac, Kel. Tanjung Duren Selatan, Kec. Grogol Petamburan, Jakarta Barat",021-29859901,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Barat"
Mayapada Clinic Tangerang City,"Ruko Business Park Tangerang City Blok B No.7, Jl. Jend. Sudirman Babakan Tangerang Banten",021-55782423 / 29859988,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend. Sudirman Babakan Tangerang Banten"
Mayapada Hospital,"Jl. Honoris Raya, Kav.6, Kota Modern/Kodya Dati Ii",021-5529035,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kota Modern/Kodya Dati Ii"
Mayapada Hospital Bandung,"Jl. Terusan Buah Batu No.5 Batununggal, Bandung - Jawa Barat",085711196850,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bandung - Jawa Barat"
Mayapada Hospital Bogor (dh. Bogor Medical Center),Jl. Pajajaran Indah V/97 Bogor,0251-8307900/8390435/ 8346002,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Pajajaran Indah V/97 Bogor"
Mayapada Hospital Kuningan,Jl. H.R Rasuna Said Kav C-17 Karet Kuningan Jakarta Selatan,021-50912929,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. H.R Rasuna Said Kav C-17 Karet Kuningan Jakarta Selatan"
Mayapada Hospital Lebak Bulus,Jl. Lebak Bulus I Kav.29 Cilandak Barat Jakarta Selatan 12430,021-29217777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Lebak Bulus I Kav.29 Cilandak Barat Jakarta Selatan 12430"
Mayapada Hospital Surabaya,"Jl. Mayjen Sungkono No.20, Pakis, Kec. Sawahan, Surabaya – Jawa Timur",021-29217777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Surabaya – Jawa Timur"
Medan Medical Centre,Jl. Komplek Multatuli Indah Blok Bb No.56-57,061-4535522/4535104,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Komplek Multatuli Indah Blok Bb No.56-57"
Medan Satria (Group of Pertamina Jaya),"Komp. Pertamina Medan Satria, Jl. Arun No. 2",021-4604944,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Arun No. 2"
Medic centre clinic,"Jl. Ahmad Yani,Komplek Karimun Indah Blok B No.1 Tanjung Balai",0777-325561,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Komplek Karimun Indah Blok B No.1 Tanjung Balai"
Medicare Clinic,"Menara Kadin Indonesia Lt.27, Jl. H.R Rasuna Said Blok X-5 Kav.2-3 Jakarta Selatan",021-5274556 / 57903905,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. H.R Rasuna Said Blok X-5 Kav.2-3 Jakarta Selatan"
Medika Batulicin,"Jl. Serongga KM 1, Sei Kecil,Batulicin, Tanah Bambu, Kalimantan Selatan",0518-71570,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kalimantan Selatan"
Medika Bsd,"Jl. Letnan Soetopo Kav. Kom. Iii A No 7, Bsd Tangerang",021-5372296,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bsd Tangerang"
Medika Dramaga,"Jl. Raya Dramaga KM 7,3 Margajaya Bogor, Jawa Barat",0251-8308900,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Medika Lebak,"Jl. Jend Ahmad Yani No.56 Ds. Kaduagung timur, Kec.Cibadak Kab.Lebak",0252-209975 / 085100011156,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec.Cibadak Kab.Lebak"
Medika Meta Utama (Pupuk Kaltim Group),"Jl. Kh. Wahid Hasyim I, No. 10, Samarinda-Kalimantan Timur",0542-765275 / 081348504861,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Samarinda-Kalimantan Timur"
Medika OHC,"Jl. Batu Ampar III No.55, Rt.11/ Rw.02, Kramat Jati Jakarta Timur",021-80886446,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kramat Jati Jakarta Timur"
Medika Permata Hijau,"Jl. Raya Kebayoran Lama, No.64",021-5305288/5347411/534741,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.64"
Medika Plaza - WTC2,"Wtc 2 Lower Ground Floor Jl. Jend. Sudirman Kav 29-31, Karet, Jakarta Selatan 12920",021-29522611,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan 12920"
Medika Plaza Beltway,Beltway Office Park Annex Building Jl. Tb Simatupang Kav. 41 12550,021-30027070,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Beltway Office Park Annex Building Jl. Tb Simatupang Kav. 41 12550"
Medika Stannia,"Jl. Jend.Sudirman, No.3, Sungai Liat",0717-95837,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sungai Liat"
Medika Utama,Jl.Mulawarman No.24 RT07 Manggar Baru Balikpapan 76116,0542-770846,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Mulawarman No.24 RT07 Manggar Baru Balikpapan 76116"
Medika Utama,"Jl. Kusuma Bangsa No.1 Kanigoro, Blitar Jawa Timur",0342-442555,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Blitar Jawa Timur"
Medikaloka Healthcare,"RDTX Tower Ground & 2nd floor, Jl.Prof.Dr.Satrio Kav.E IV No.6 Mega Kuningan, Jakarta Selatan",021-5261118,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan"
Medikids Bekasi By Mhdc Bekasi,"Ruko Graha Boulevard Blok Gb-B08 Jl. Boulevard Ahmad Yani Summarecon, Bekasi Utara",021-89460123,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Utara"
Medikids By Mhdc Bintaro,"Ruko Kebayoran Arcade 3 Blok. E1 No.10, Bintaro Jaya Sektor 7. Jl. Boulevard Raya, Pondok Aren, Tanggerang Selatan",021-22929886,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tanggerang Selatan"
Medikids By Mhdc Bogor,"Ruko The Plaza Perumahan Bukit Cimanggu City Blok Rka No. 6, Jl. K.H. Sholeh Iskandar, Kel Cibadak, Kec. Tanah Sareal Bogor",0811-1865531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Tanah Sareal Bogor"
Medikids By MHDC BSD,"Ruko Mendrisio Square, Jl. Jend. Sudirman No. 35, Cihuni, Pagedangan, Tangerang, Banten",021-55685620,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Medikids by MHDC Cikupa,"Ruko Little Ginza P02/219, Jl. Ecopolis Boulevard Utama Selatan, Citra Raya – Tangerang",021-59660871,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Citra Raya – Tangerang"
Medikids By Mhdc Dago,"Jl. Ir. H. Juanda No. 50 Citarum, Bandung Wetan, Kota Bandung, Jawa Barat",0811-8505-531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Medikids By Mhdc Kebon Jeruk,"Ruko Graha Mas, Jl. Perjuangan Blok C No. 3A, Kebon Jeruk, Jakarta Barat",0811-9465-531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Barat"
Medikids By Mhdc Kemang,Jl. Ampera Raya No.5A Pejaten Barat Jakarta Selatan,021-22715917,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ampera Raya No.5A Pejaten Barat Jakarta Selatan"
Medikids By Mhdc Pondok Indah,"Jl. Sultan Iskandar Muda No.17, Kebayoran Lama",021-7221370,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kebayoran Lama"
Medikids By Mhdc Wakaf Cilegon,"Cilegon City Square, Jalan Lingkar Selatan, Desa/Kelurahan Kedaleman, Kec. Cibeber, Kota Cilegon, Banten",0811-1385-531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Medikids By Mhdc Wakaf Depok,"Mall Pesona Square Lantai 3, L3-1,2,3 Jl. Ir. Juanda No.99, Bakti Jaya, Sukmajaya Depok Jawa Barat",021-77817199,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sukmajaya Depok Jawa Barat"
Medikids By Mhdc Wakaf Kalimalang,"Jl. Kalimalang/Per Kav Ptb Blok A2 No. No. 04, Kel. Pondok Kelapa, Kec. Duren Sawit, Jakarta Timur",0811-8065-531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur"
Medikids By Mhdc Wakaf Padang,"Jl. Kis Mangun Sarkoro No.39 Jati Baru, Padang Timur Padang – Sumatera Barat",0811-8675531,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Padang Timur Padang – Sumatera Barat"
